@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {511_interviewer_train,108_subset_train}

@DATA
0.138924,0.020999,3.119680,0.217155,0.199244,1.516106,0.003763,0.253333,-22.620897,1.015346,-0.100217,0.412458,-0.166886,0.212366,-0.259196,0.099894,-0.007471,-0.038786,-0.042941,0.061450,0.108069,0.023558,0.005645,0.021753,0.013949,0.012096,0.008486,0.065020,0.003680,0.009887,0.010420,0.019673,0.005313,0.018593,0.040037,0.014051,0.107608,0.035290,0.012215,0.463657,0.002134,0.057584,1.227006,0.679568,0.471398,0.219772,0.175705,0.176587,0.104965,0.192836,0.218218,0.154794,0.123447,0.064172,0.109075,0.009615,0.003915,0.011881,0.007902,0.007089,0.005162,0.061060,0.002750,0.004516,0.002810,0.012844,0.003298,0.015382,511_interviewer_train
0.062370,0.105969,3.200067,0.160424,0.183330,0.634335,0.007875,0.116250,-22.135712,1.971999,0.080914,0.227562,-0.169817,0.309015,-1.011155,-0.072653,-0.500140,-0.285871,-0.177962,-0.289719,-0.149031,0.019555,0.001534,0.037562,0.165891,0.007197,0.008639,0.016363,0.000652,0.006863,0.003798,0.010943,0.004663,0.050500,0.033911,0.052381,0.086529,0.016074,0.022651,0.547947,0.008209,0.105255,0.977051,0.425747,0.343795,0.154829,0.046455,0.178413,0.152814,0.155317,0.201242,0.312542,0.150494,0.203682,0.184540,0.022397,0.001498,0.035913,0.122754,0.002197,0.013252,0.011975,0.000397,0.006320,0.003595,0.009188,0.008059,0.028551,511_interviewer_train
0.138423,0.053242,3.113294,0.211953,0.187643,1.393404,0.008682,0.240500,-22.939344,1.062238,-0.495311,-0.125467,-0.216484,-0.164516,-0.255067,-0.323223,-0.351683,-0.195429,-0.325273,0.290470,0.369292,0.007409,0.005848,0.009767,0.006031,0.023747,0.048329,0.014103,0.006192,0.003881,0.005537,0.034633,0.007159,0.022699,0.041154,0.045000,0.418791,0.047515,0.041131,0.409015,0.006473,0.090234,1.522644,0.466364,0.512721,0.398756,0.248023,0.397494,0.195464,0.225667,0.306595,0.328286,0.398221,0.231547,0.368406,0.010929,0.010292,0.013486,0.007739,0.020456,0.051100,0.012160,0.006183,0.002901,0.006071,0.045626,0.007104,0.012198,511_interviewer_train
0.123585,0.017890,3.130179,0.200990,0.185804,1.131369,0.009740,0.210097,-24.445740,1.355145,-0.309707,0.008869,-0.273865,-0.012721,-0.222663,-0.072684,-0.048130,0.056460,-0.101467,0.021143,-0.194067,0.014498,0.007023,0.022174,0.020656,0.009114,0.011670,0.022328,0.005404,0.005568,0.018821,0.034480,0.005477,0.020906,0.036169,0.015556,0.200082,0.028255,0.022489,0.400300,0.006466,0.075683,1.235735,0.747145,0.589724,0.578559,0.425752,0.445719,0.308030,0.233691,0.238536,0.262263,0.285080,0.251997,0.254000,0.011967,0.007790,0.019832,0.031021,0.010721,0.012395,0.024062,0.005828,0.005478,0.016239,0.039266,0.004546,0.013213,511_interviewer_train
0.095552,0.051110,3.098113,0.177541,0.186825,0.706816,0.013196,0.162170,-23.410912,2.065625,0.301121,-0.452187,-0.649819,-0.010911,-0.233192,-0.058050,0.181661,-0.022979,-0.034363,-0.054423,-0.375751,0.044684,0.006461,0.031870,0.007847,0.009273,0.006773,0.014002,0.001166,0.009886,0.022481,0.046977,0.015662,0.030011,0.047976,0.038259,0.313818,0.034722,0.031076,0.425466,0.008221,0.109772,1.030949,0.543325,0.693697,0.428089,0.457093,0.311291,0.313344,0.246122,0.292984,0.300432,0.398957,0.410423,0.303525,0.057107,0.007562,0.045133,0.010542,0.014401,0.008648,0.012195,0.001096,0.015204,0.025992,0.047968,0.024675,0.013435,511_interviewer_train
0.118648,0.037195,3.092560,0.195523,0.185142,1.038317,0.010169,0.212250,-23.229373,1.779833,0.301382,-0.321266,-0.561997,0.279406,-0.359848,-0.051789,0.122405,-0.128385,0.180927,-0.045211,-0.293732,0.021807,0.007346,0.028850,0.014625,0.009298,0.006918,0.025744,0.001396,0.008107,0.031664,0.038508,0.009252,0.023280,0.047694,0.025352,0.208146,0.048551,0.022264,0.598968,0.005012,0.130516,1.660514,0.838577,0.213634,0.262270,0.499986,0.367247,0.359660,0.126103,0.299326,0.210737,0.324166,0.204085,0.142198,0.027201,0.010369,0.020223,0.023553,0.008438,0.004490,0.049195,0.001869,0.009875,0.036442,0.022167,0.014113,0.009809,511_interviewer_train
0.121715,0.037661,2.921236,0.223298,0.230039,0.841613,0.008188,0.195000,-23.725666,2.088861,0.538444,-0.654398,-0.378575,-0.225845,-0.231309,-0.058551,-0.350848,-0.116942,-0.151328,0.089207,-0.052569,0.006607,0.009472,0.026227,0.038557,0.015747,0.014239,0.063855,0.002200,0.008919,0.026130,0.011443,0.004440,0.023893,0.048225,0.031835,0.320529,0.024816,0.009128,0.432707,0.005652,0.118414,1.342310,0.699115,0.133836,0.736797,0.286081,0.551442,0.430165,0.224986,0.160396,0.192573,0.197918,0.210113,0.170167,0.002766,0.014766,0.008107,0.016623,0.017238,0.010185,0.069682,0.002096,0.006875,0.016119,0.005695,0.006357,0.014997,511_interviewer_train
0.098999,0.050574,3.086550,0.178597,0.180827,0.985208,0.013217,0.166250,-22.966631,1.631857,-0.422025,0.189926,-0.264501,-0.255000,-0.407945,-0.491350,-0.294031,-0.269586,-0.160636,0.178760,0.193928,0.016866,0.010613,0.011392,0.017192,0.041776,0.057955,0.033232,0.003530,0.008141,0.007507,0.011943,0.007727,0.027078,0.034970,0.042524,0.248617,0.027550,0.027081,0.432951,0.008048,0.068184,1.370815,0.577790,0.580016,0.316186,0.271287,0.414639,0.287344,0.358465,0.296762,0.322847,0.230559,0.462500,0.368438,0.022862,0.024166,0.008728,0.016770,0.041728,0.070620,0.020793,0.004851,0.008013,0.006081,0.018829,0.006560,0.016309,511_interviewer_train
0.069243,0.080111,3.236448,0.163355,0.187126,0.642895,0.009318,0.106063,-23.265373,2.064082,0.232628,0.186066,-0.342456,-0.253630,-0.468754,-0.468028,-0.404375,-0.432798,-0.343200,0.065383,0.120827,0.008910,0.001095,0.010773,0.014002,0.157640,0.033253,0.012172,0.003005,0.005720,0.003365,0.005006,0.008520,0.048115,0.023942,0.041754,0.104058,0.023429,0.021104,0.287145,0.005734,0.040915,0.629167,0.577292,0.526172,0.399420,0.215466,0.192554,0.277006,0.191490,0.186383,0.188579,0.138708,0.163970,0.319888,0.011299,0.001653,0.011479,0.014170,0.063146,0.020574,0.009561,0.005537,0.004745,0.004603,0.003997,0.012693,0.015282,511_interviewer_train
0.106758,0.039242,3.156000,0.185980,0.207246,0.872992,0.008487,0.198063,-24.019354,2.437727,-0.466745,0.349934,-0.294094,-0.038641,-0.137836,-0.071523,0.090410,-0.078969,-0.294543,-0.331490,-0.304588,0.042734,0.007271,0.084516,0.010146,0.006211,0.008138,0.018008,0.002410,0.004143,0.007682,0.014042,0.013617,0.028145,0.059398,0.012552,0.131545,0.059045,0.036631,0.669040,0.006783,0.148312,1.029839,0.915295,0.537411,0.365796,0.205615,0.230296,0.249275,0.152027,0.188180,0.104810,0.210813,0.179110,0.197966,0.036400,0.007386,0.055994,0.007788,0.004818,0.007799,0.011048,0.002704,0.004306,0.003756,0.010766,0.023276,0.014222,511_interviewer_train
